BranchName,Date,ActualDeposit,Quarter
Nagpur,1/1/13,2.5,2013Q1
Nagpur,1/2/13,2.9,2013Q1
Nagpur,1/3/13,0.2,2013Q1
Nagpur,1/4/13,0.6,2013Q1
Nagpur,1/5/13,2.1,2013Q1
Nagpur,1/6/13,0.2,2013Q1 
Nagpur,1/7/13,1,2013Q1
Nagpur,1/8/13,3,2013Q1
Nagpur,1/9/13,1.6,2013Q1
Nagpur,1/10/13,0.9,2013Q1
Nagpur,1/11/13,1.1,2013Q1
Nagpur,1/12/13,3,2013Q1
Nagpur,1/13/13,1.2,2013Q1
Nagpur,1/14/13,2.6,2013Q1
Nagpur,1/15/13,1.9,2013Q1
Nagpur,2/3/13,1.5,2013Q1
Nagpur,2/5/13,1.7,2013Q1
Nagpur,2/7/13,1.8,2013Q1
Nagpur,2/9/13,2.1,2013Q1
Nagpur,2/11/13,2.7,2013Q1
Nagpur,2/13/13,0.6,2013Q1
Nagpur,2/15/13,2.6,2013Q1
Nagpur,2/17/13,0.4,2013Q1
Nagpur,2/19/13,2.4,2013Q1
Nagpur,2/21/13,0.9,2013Q1
Nagpur,2/23/13,1.2,2013Q1
Nagpur,2/24/13,3,2013Q1
Nagpur,2/25/13,1.2,2013Q1
Nagpur,2/26/13,1,2013Q1
Nagpur,2/27/13,2.4,2013Q1
Nagpur,3/5/13,1.9,2013Q1
Nagpur,3/6/13,1.8,2013Q1
Nagpur,3/7/13,1,2013Q1
Nagpur,3/8/13,0.4,2013Q1
Nagpur,3/9/13,0.5,2013Q1
Nagpur,3/10/13,0.7,2013Q1
Nagpur,3/19/13,0.4,2013Q1
Nagpur,3/20/13,2.5,2013Q1
Nagpur,3/21/13,0.6,2013Q1
Nagpur,3/22/13,1.9,2013Q1
Nagpur,3/23/13,1.8,2013Q1
Nagpur,3/24/13,1.5,2013Q1
Nagpur,3/25/13,2,2013Q1
Nagpur,3/26/13,2,2013Q1
Nagpur,3/31/13,1,2013Q1
Nagpur,10/2/12,0.4,2012Q4
Nagpur,10/3/12,0.5,2012Q4
Nagpur,10/4/12,0.7,2012Q4
Nagpur,10/5/12,0.7,2012Q4
Nagpur,10/6/12,1.3,2012Q4
Nagpur,10/7/12,2.5,2012Q4
Nagpur,10/8/12,2,2012Q4
Nagpur,10/9/12,0.7,2012Q4
Nagpur,10/10/12,2,2012Q4
Nagpur,10/11/12,2.2,2012Q4
Nagpur,10/12/12,0.6,2012Q4
Nagpur,10/13/12,0.5,2012Q4
Nagpur,10/14/12,1.3,2012Q4
Nagpur,10/15/12,3,2012Q4
Nagpur,10/16/12,1.2,2012Q4
Nagpur,11/1/12,1.4,2012Q4
Nagpur,11/3/12,1.3,2012Q4
Nagpur,11/5/12,2.1,2012Q4
Nagpur,11/7/12,0.8,2012Q4
Nagpur,11/9/12,2.6,2012Q4
Nagpur,11/11/12,2.4,2012Q4
Nagpur,11/13/12,2.7,2012Q4
Nagpur,11/15/12,0.7,2012Q4
Nagpur,11/17/12,0.1,2012Q4
Nagpur,11/19/12,1.7,2012Q4
Nagpur,11/21/12,2,2012Q4
Nagpur,11/23/12,1.2,2012Q4
Nagpur,11/25/12,1.2,2012Q4
Nagpur,11/27/12,0.3,2012Q4
Nagpur,11/29/12,1.1,2012Q4
Nagpur,12/14/12,1.2,2012Q4
Nagpur,12/15/12,3,2012Q4
Nagpur,12/16/12,2.1,2012Q4
Nagpur,12/17/12,1.7,2012Q4
Nagpur,12/18/12,0.1,2012Q4
Nagpur,12/19/12,0.5,2012Q4
Nagpur,12/20/12,0.6,2012Q4
Nagpur,12/21/12,0.1,2012Q4
Nagpur,12/22/12,2.3,2012Q4
Nagpur,12/23/12,2.6,2012Q4
Nagpur,12/24/12,2.7,2012Q4
Nagpur,12/25/12,0.8,2012Q4
Nagpur,12/26/12,1.8,2012Q4
Nagpur,12/27/12,2.4,2012Q4
Nagpur,12/28/12,2.8,2012Q4
Nagpur,7/10/12,3,2012Q3
Nagpur,7/11/12,2.8,2012Q3
Nagpur,7/12/12,2.3,2012Q3
Nagpur,7/13/12,1.3,2012Q3
Nagpur,7/14/12,0.3,2012Q3
Nagpur,7/15/12,2.2,2012Q3
Nagpur,7/16/12,0.9,2012Q3
Nagpur,7/17/12,1.1,2012Q3
Nagpur,7/18/12,1.7,2012Q3
Nagpur,7/19/12,0.4,2012Q3
Nagpur,7/20/12,3,2012Q3
Nagpur,7/21/12,2.9,2012Q3
Nagpur,7/22/12,2.7,2012Q3
Nagpur,7/23/12,0.4,2012Q3
Nagpur,7/24/12,1.3,2012Q3
Nagpur,8/6/12,1,2012Q3
Nagpur,8/8/12,1.6,2012Q3
Nagpur,8/10/12,1.9,2012Q3
Nagpur,8/12/12,1,2012Q3
Nagpur,8/14/12,2.7,2012Q3
Nagpur,8/16/12,1.5,2012Q3
Nagpur,8/18/12,1.7,2012Q3
Nagpur,8/20/12,0.7,2012Q3
Nagpur,8/21/12,2.1,2012Q3
Nagpur,8/22/12,1.2,2012Q3
Nagpur,8/23/12,1.2,2012Q3
Nagpur,8/24/12,1,2012Q3
Nagpur,8/25/12,2.7,2012Q3
Nagpur,8/26/12,1.6,2012Q3
Nagpur,8/27/12,1.2,2012Q3
Nagpur,9/1/12,2.4,2012Q3
Nagpur,9/2/12,2.8,2012Q3
Nagpur,9/3/12,1.4,2012Q3
Nagpur,9/4/12,2.4,2012Q3
Nagpur,9/5/12,1.5,2012Q3
Nagpur,9/6/12,2.5,2012Q3
Nagpur,9/7/12,0.1,2012Q3
Nagpur,9/8/12,1.8,2012Q3
Nagpur,9/9/12,0.6,2012Q3
Nagpur,9/10/12,2.5,2012Q3
Nagpur,9/11/12,0.2,2012Q3
Nagpur,9/12/12,2.7,2012Q3
Nagpur,9/13/12,0.7,2012Q3
Nagpur,9/14/12,0.4,2012Q3
Nagpur,9/15/12,0.1,2012Q3
Nagpur,4/3/12,0.1,2012Q2
Nagpur,4/5/12,1.8,2012Q2
Nagpur,4/7/12,0.1,2012Q2
Nagpur,4/9/12,1,2012Q2
Nagpur,4/11/12,1.7,2012Q2
Nagpur,4/13/12,0.9,2012Q2
Nagpur,4/15/12,0.7,2012Q2
Nagpur,4/17/12,0.7,2012Q2
Nagpur,4/19/12,2,2012Q2
Nagpur,4/21/12,1.7,2012Q2
Nagpur,4/23/12,1,2012Q2
Nagpur,4/25/12,2,2012Q2
Nagpur,4/26/12,0.9,2012Q2
Nagpur,4/27/12,3,2012Q2
Nagpur,4/28/12,1,2012Q2
Nagpur,5/1/12,2.7,2012Q2
Nagpur,5/2/12,2.3,2012Q2
Nagpur,5/3/12,0.2,2012Q2
Nagpur,5/4/12,2.6,2012Q2
Nagpur,5/5/12,2.9,2012Q2
Nagpur,5/15/12,0.3,2012Q2
Nagpur,5/16/12,2.9,2012Q2
Nagpur,5/17/12,1.6,2012Q2
Nagpur,5/18/12,0.4,2012Q2
Nagpur,5/19/12,1.5,2012Q2
Nagpur,5/24/12,0.3,2012Q2
Nagpur,5/25/12,2.5,2012Q2
Nagpur,5/26/12,2.9,2012Q2
Nagpur,5/27/12,1.6,2012Q2
Nagpur,5/28/12,1,2012Q2
Nagpur,6/14/12,1.4,2012Q2
Nagpur,6/15/12,2.8,2012Q2
Nagpur,6/16/12,0.3,2012Q2
Nagpur,6/17/12,1,2012Q2
Nagpur,6/18/12,0.1,2012Q2
Nagpur,6/19/12,1.2,2012Q2
Nagpur,6/20/12,1.2,2012Q2
Nagpur,6/21/12,2.6,2012Q2
Nagpur,6/22/12,2.4,2012Q2
Nagpur,6/23/12,1.4,2012Q2
Nagpur,6/24/12,1.6,2012Q2
Nagpur,6/25/12,0.4,2012Q2
Nagpur,6/26/12,2.6,2012Q2
Nagpur,6/27/12,1.4,2012Q2
Nagpur,6/28/12,1.8,2012Q2
Nagpur,1/1/12,0.1,2012Q1
Nagpur,1/2/12,3,2012Q1
Nagpur,1/3/12,1.7,2012Q1
Nagpur,1/4/12,1.7,2012Q1
Nagpur,1/5/12,2.5,2012Q1
Nagpur,1/6/12,2.4,2012Q1
Nagpur,1/7/12,1.5,2012Q1
Nagpur,1/8/12,2.2,2012Q1
Nagpur,1/9/12,2.4,2012Q1
Nagpur,1/10/12,0,2012Q1
Nagpur,1/11/12,2.2,2012Q1
Nagpur,1/12/12,3,2012Q1
Nagpur,1/13/12,1.3,2012Q1
Nagpur,1/14/12,2.1,2012Q1
Nagpur,1/15/12,2.9,2012Q1
Nagpur,2/3/12,1.7,2012Q1
Nagpur,2/5/12,2.4,2012Q1
Nagpur,2/7/12,2.2,2012Q1
Nagpur,2/9/12,2.7,2012Q1
Nagpur,2/11/12,0.7,2012Q1
Nagpur,2/13/12,2.6,2012Q1
Nagpur,2/15/12,2.9,2012Q1
Nagpur,2/17/12,1.5,2012Q1
Nagpur,2/19/12,1.2,2012Q1
Nagpur,2/21/12,2.6,2012Q1
Nagpur,2/23/12,1.3,2012Q1
Nagpur,2/24/12,2.9,2012Q1
Nagpur,2/25/12,2.7,2012Q1
Nagpur,2/26/12,0.5,2012Q1
Nagpur,2/27/12,2.8,2012Q1
Nagpur,3/5/12,2.9,2012Q1
Nagpur,3/6/12,1.6,2012Q1
Nagpur,3/7/12,1.1,2012Q1
Nagpur,3/8/12,0.4,2012Q1
Nagpur,3/9/12,2,2012Q1
Nagpur,3/10/12,2.6,2012Q1
Nagpur,3/19/12,0.5,2012Q1
Nagpur,3/20/12,2.8,2012Q1
Nagpur,3/21/12,0.5,2012Q1
Nagpur,3/22/12,2.9,2012Q1
Nagpur,3/23/12,0.1,2012Q1
Nagpur,3/24/12,1.3,2012Q1
Nagpur,3/25/12,0.1,2012Q1
Nagpur,3/26/12,2.9,2012Q1
Nagpur,3/31/12,1.6,2012Q1
Nagpur,10/2/11,3,2011Q4
Nagpur,10/3/11,1.1,2011Q4
Nagpur,10/4/11,1.9,2011Q4
Nagpur,10/5/11,2.8,2011Q4
Nagpur,10/6/11,0,2011Q4
Nagpur,10/7/11,2.8,2011Q4
Nagpur,10/8/11,0.2,2011Q4
Nagpur,10/9/11,1.2,2011Q4
Nagpur,10/10/11,0.8,2011Q4
Nagpur,10/11/11,0.7,2011Q4
Nagpur,10/12/11,0.4,2011Q4
Nagpur,10/13/11,1.5,2011Q4
Nagpur,10/14/11,2.7,2011Q4
Nagpur,10/15/11,1.6,2011Q4
Nagpur,10/16/11,0.8,2011Q4
Nagpur,11/1/11,2.8,2011Q4
Nagpur,11/3/11,1.4,2011Q4
Nagpur,11/5/11,1.1,2011Q4
Nagpur,11/7/11,2,2011Q4
Nagpur,11/9/11,0.6,2011Q4
Nagpur,11/11/11,1.1,2011Q4
Nagpur,11/13/11,1,2011Q4
Nagpur,11/15/11,1.6,2011Q4
Nagpur,11/17/11,1.4,2011Q4
Nagpur,11/19/11,1.1,2011Q4
Nagpur,11/21/11,0.4,2011Q4
Nagpur,11/23/11,2.6,2011Q4
Nagpur,11/25/11,0.7,2011Q4
Nagpur,11/27/11,1.3,2011Q4
Nagpur,11/29/11,0.9,2011Q4
Nagpur,12/14/11,1.4,2011Q4
Nagpur,12/15/11,2.4,2011Q4
Nagpur,12/16/11,2.1,2011Q4
Nagpur,12/17/11,1.9,2011Q4
Nagpur,12/18/11,0.1,2011Q4
Nagpur,12/19/11,2.1,2011Q4
Nagpur,12/20/11,0.7,2011Q4
Nagpur,12/21/11,2.2,2011Q4
Nagpur,12/22/11,0.8,2011Q4
Nagpur,12/23/11,0.7,2011Q4
Nagpur,12/24/11,1.9,2011Q4
Nagpur,12/25/11,1.2,2011Q4
Nagpur,12/26/11,2.4,2011Q4
Nagpur,12/27/11,0.5,2011Q4
Nagpur,12/28/11,1.6,2011Q4
Wardha,1/1/13,0.7,2013Q1
Wardha,1/2/13,2.5,2013Q1
Wardha,1/3/13,1.3,2013Q1
Wardha,1/4/13,1.9,2013Q1
Wardha,1/5/13,1.4,2013Q1
Wardha,1/6/13,1.7,2013Q1
Wardha,1/7/13,0.5,2013Q1
Wardha,1/8/13,2.3,2013Q1
Wardha,1/9/13,1.3,2013Q1
Wardha,1/10/13,0.9,2013Q1
Wardha,1/11/13,1.7,2013Q1
Wardha,1/12/13,0.6,2013Q1
Wardha,1/13/13,1.3,2013Q1
Wardha,1/14/13,0.9,2013Q1
Wardha,1/15/13,2.2,2013Q1
Wardha,2/3/13,2.9,2013Q1
Wardha,2/5/13,2.7,2013Q1
Wardha,2/7/13,0.8,2013Q1
Wardha,2/9/13,1.1,2013Q1
Wardha,2/11/13,1,2013Q1
Wardha,2/13/13,0.9,2013Q1
Wardha,2/15/13,1.9,2013Q1
Wardha,2/17/13,0.5,2013Q1
Wardha,2/19/13,1.3,2013Q1
Wardha,2/21/13,0.1,2013Q1
Wardha,2/23/13,0.5,2013Q1
Wardha,2/24/13,1.7,2013Q1
Wardha,2/25/13,0.9,2013Q1
Wardha,2/26/13,1.3,2013Q1
Wardha,2/27/13,2.9,2013Q1
Wardha,3/5/13,1.9,2013Q1
Wardha,3/6/13,0.2,2013Q1
Wardha,3/7/13,2.7,2013Q1
Wardha,3/8/13,2.8,2013Q1
Wardha,3/9/13,2.1,2013Q1
Wardha,3/10/13,0.4,2013Q1
Wardha,3/19/13,2.2,2013Q1
Wardha,3/20/13,1.7,2013Q1
Wardha,3/21/13,0.2,2013Q1
Wardha,3/22/13,1.3,2013Q1
Wardha,3/23/13,1.4,2013Q1
Wardha,3/24/13,2.1,2013Q1
Wardha,3/25/13,2.4,2013Q1
Wardha,3/26/13,2.9,2013Q1
Wardha,3/31/13,1.9,2013Q1
Wardha,10/2/12,1.5,2012Q4
Wardha,10/3/12,1.9,2012Q4
Wardha,10/4/12,0.2,2012Q4
Wardha,10/5/12,1,2012Q4
Wardha,10/6/12,2.5,2012Q4
Wardha,10/7/12,0.1,2012Q4
Wardha,10/8/12,0.8,2012Q4
Wardha,10/9/12,1.8,2012Q4
Wardha,10/10/12,2,2012Q4
Wardha,10/11/12,1.8,2012Q4
Wardha,10/12/12,3,2012Q4
Wardha,10/13/12,0.5,2012Q4
Wardha,10/14/12,1.7,2012Q4
Wardha,10/15/12,0.5,2012Q4
Wardha,10/16/12,1.1,2012Q4
Wardha,11/1/12,2.2,2012Q4
Wardha,11/3/12,2.5,2012Q4
Wardha,11/5/12,3,2012Q4
Wardha,11/7/12,1.9,2012Q4
Wardha,11/9/12,0.2,2012Q4
Wardha,11/11/12,0,2012Q4
Wardha,11/13/12,2.7,2012Q4
Wardha,11/15/12,0.5,2012Q4
Wardha,11/17/12,0.2,2012Q4
Wardha,11/19/12,0.2,2012Q4
Wardha,11/21/12,2.7,2012Q4
Wardha,11/23/12,1.5,2012Q4
Wardha,11/25/12,0.5,2012Q4
Wardha,11/27/12,2.2,2012Q4
Wardha,11/29/12,1.5,2012Q4
Wardha,12/14/12,2.2,2012Q4
Wardha,12/15/12,2.9,2012Q4
Wardha,12/16/12,2.7,2012Q4
Wardha,12/17/12,1.9,2012Q4
Wardha,12/18/12,1.8,2012Q4
Wardha,12/19/12,1.2,2012Q4
Wardha,12/20/12,1.7,2012Q4
Wardha,12/21/12,2.8,2012Q4
Wardha,12/22/12,0.5,2012Q4
Wardha,12/23/12,1.2,2012Q4
Wardha,12/24/12,2.4,2012Q4
Wardha,12/25/12,1.2,2012Q4
Wardha,12/26/12,1.7,2012Q4
Wardha,12/27/12,0.2,2012Q4
Wardha,12/28/12,2.7,2012Q4
Wardha,7/10/12,1.9,2012Q3
Wardha,7/11/12,0.3,2012Q3
Wardha,7/12/12,2.2,2012Q3
Wardha,7/13/12,2.3,2012Q3
Wardha,7/14/12,2.2,2012Q3
Wardha,7/15/12,1.8,2012Q3
Wardha,7/16/12,0.4,2012Q3
Wardha,7/17/12,0.7,2012Q3
Wardha,7/18/12,1.5,2012Q3
Wardha,7/19/12,0.6,2012Q3
Wardha,7/20/12,1.8,2012Q3
Wardha,7/21/12,0.6,2012Q3
Wardha,7/22/12,1.4,2012Q3
Wardha,7/23/12,0.7,2012Q3
Wardha,7/24/12,1.7,2012Q3
Wardha,8/6/12,1.3,2012Q3
Wardha,8/8/12,0.5,2012Q3
Wardha,8/10/12,1.3,2012Q3
Wardha,8/12/12,2,2012Q3
Wardha,8/14/12,1.8,2012Q3
Wardha,8/16/12,2.8,2012Q3
Wardha,8/18/12,0,2012Q3
Wardha,8/20/12,3,2012Q3
Wardha,8/21/12,2.7,2012Q3
Wardha,8/22/12,2.7,2012Q3
Wardha,8/23/12,0.6,2012Q3
Wardha,8/24/12,0.9,2012Q3
Wardha,8/25/12,2,2012Q3
Wardha,8/26/12,1.4,2012Q3
Wardha,8/27/12,1.7,2012Q3
Wardha,9/1/12,0.2,2012Q3
Wardha,9/2/12,1,2012Q3
Wardha,9/3/12,2.1,2012Q3
Wardha,9/4/12,2,2012Q3
Wardha,9/5/12,1.4,2012Q3
Wardha,9/6/12,2.8,2012Q3
Wardha,9/7/12,1.6,2012Q3
Wardha,9/8/12,0.8,2012Q3
Wardha,9/9/12,1.2,2012Q3
Wardha,9/10/12,1.8,2012Q3
Wardha,9/11/12,3,2012Q3
Wardha,9/12/12,0.9,2012Q3
Wardha,9/13/12,1.1,2012Q3
Wardha,9/14/12,1.7,2012Q3
Wardha,9/15/12,1,2012Q3
Wardha,4/3/12,0.2,2012Q2
Wardha,4/5/12,1.8,2012Q2
Wardha,4/7/12,2.7,2012Q2
Wardha,4/9/12,0.1,2012Q2
Wardha,4/11/12,0.3,2012Q2
Wardha,4/13/12,0,2012Q2
Wardha,4/15/12,3,2012Q2
Wardha,4/17/12,1.7,2012Q2
Wardha,4/19/12,1.5,2012Q2
Wardha,4/21/12,1.8,2012Q2
Wardha,4/23/12,1.2,2012Q2
Wardha,4/25/12,0.3,2012Q2
Wardha,4/26/12,2.1,2012Q2
Wardha,4/27/12,1.4,2012Q2
Wardha,4/28/12,0,2012Q2
Wardha,5/1/12,0.6,2012Q2
Wardha,5/2/12,1.5,2012Q2
Wardha,5/3/12,2.2,2012Q2
Wardha,5/4/12,2,2012Q2
Wardha,5/5/12,1.9,2012Q2
Wardha,5/15/12,1.4,2012Q2
Wardha,5/16/12,1.4,2012Q2
Wardha,5/17/12,0.3,2012Q2
Wardha,5/18/12,0.5,2012Q2
Wardha,5/19/12,2.6,2012Q2
Wardha,5/24/12,0.1,2012Q2
Wardha,5/25/12,0.2,2012Q2
Wardha,5/26/12,2.4,2012Q2
Wardha,5/27/12,0.9,2012Q2
Wardha,5/28/12,0.7,2012Q2
Wardha,6/14/12,2.9,2012Q2
Wardha,6/15/12,1.9,2012Q2
Wardha,6/16/12,0.8,2012Q2
Wardha,6/17/12,2,2012Q2
Wardha,6/18/12,1.1,2012Q2
Wardha,6/19/12,1.7,2012Q2
Wardha,6/20/12,1.7,2012Q2
Wardha,6/21/12,1.9,2012Q2
Wardha,6/22/12,0.5,2012Q2
Wardha,6/23/12,0.4,2012Q2
Wardha,6/24/12,0.1,2012Q2
Wardha,6/25/12,2.4,2012Q2
Wardha,6/26/12,2.4,2012Q2
Wardha,6/27/12,2.4,2012Q2
Wardha,6/28/12,3,2012Q2
Wardha,1/1/12,1.3,2012Q1
Wardha,1/2/12,1.2,2012Q1
Wardha,1/3/12,0.8,2012Q1
Wardha,1/4/12,0.5,2012Q1
Wardha,1/5/12,0.5,2012Q1
Wardha,1/6/12,1.6,2012Q1
Wardha,1/7/12,1,2012Q1
Wardha,1/8/12,0.7,2012Q1
Wardha,1/9/12,0.5,2012Q1
Wardha,1/10/12,1.9,2012Q1
Wardha,1/11/12,2.6,2012Q1
Wardha,1/12/12,0.9,2012Q1
Wardha,1/13/12,1.2,2012Q1
Wardha,1/14/12,2.2,2012Q1
Wardha,1/15/12,0.3,2012Q1
Wardha,2/3/12,2.6,2012Q1
Wardha,2/5/12,0.5,2012Q1
Wardha,2/7/12,2.9,2012Q1
Wardha,2/9/12,1.7,2012Q1
Wardha,2/11/12,0.1,2012Q1
Wardha,2/13/12,0.9,2012Q1
Wardha,2/15/12,1.2,2012Q1
Wardha,2/17/12,2.7,2012Q1
Wardha,2/19/12,0.6,2012Q1
Wardha,2/21/12,1,2012Q1
Wardha,2/23/12,1.3,2012Q1
Wardha,2/24/12,1.5,2012Q1
Wardha,2/25/12,2.5,2012Q1
Wardha,2/26/12,1.2,2012Q1
Wardha,2/27/12,1.1,2012Q1
Wardha,3/5/12,2.2,2012Q1
Wardha,3/6/12,1.4,2012Q1
Wardha,3/7/12,0.7,2012Q1
Wardha,3/8/12,1.5,2012Q1
Wardha,3/9/12,1.3,2012Q1
Wardha,3/10/12,3,2012Q1
Wardha,3/19/12,0.6,2012Q1
Wardha,3/20/12,0.7,2012Q1
Wardha,3/21/12,0.2,2012Q1
Wardha,3/22/12,1.5,2012Q1
Wardha,3/23/12,1.8,2012Q1
Wardha,3/24/12,1.4,2012Q1
Wardha,3/25/12,1.9,2012Q1
Wardha,3/26/12,1.2,2012Q1
Wardha,3/31/12,2.3,2012Q1
Wardha,10/2/11,1.6,2011Q4
Wardha,10/3/11,0.8,2011Q4
Wardha,10/4/11,0.5,2011Q4
Wardha,10/5/11,2.9,2011Q4
Wardha,10/6/11,2.9,2011Q4
Wardha,10/7/11,1.1,2011Q4
Wardha,10/8/11,1.2,2011Q4
Wardha,10/9/11,2,2011Q4
Wardha,10/10/11,1.3,2011Q4
Wardha,10/11/11,2,2011Q4
Wardha,10/12/11,0.4,2011Q4
Wardha,10/13/11,2.9,2011Q4
Wardha,10/14/11,0.6,2011Q4
Wardha,10/15/11,2.7,2011Q4
Wardha,10/16/11,2,2011Q4
Wardha,11/1/11,2.9,2011Q4
Wardha,11/3/11,0.8,2011Q4
Wardha,11/5/11,2.7,2011Q4
Wardha,11/7/11,1.1,2011Q4
Wardha,11/9/11,0.3,2011Q4
Wardha,11/11/11,2.6,2011Q4
Wardha,11/13/11,2.3,2011Q4
Wardha,11/15/11,0,2011Q4
Wardha,11/17/11,0.8,2011Q4
Wardha,11/19/11,0.8,2011Q4
Wardha,11/21/11,2.5,2011Q4
Wardha,11/23/11,1.3,2011Q4
Wardha,11/25/11,1.1,2011Q4
Wardha,11/27/11,2.1,2011Q4
Wardha,11/29/11,2.4,2011Q4
Wardha,12/14/11,1.4,2011Q4
Wardha,12/15/11,0.1,2011Q4
Wardha,12/16/11,0.8,2011Q4
Wardha,12/17/11,1.7,2011Q4
Wardha,12/18/11,2.6,2011Q4
Wardha,12/19/11,2.4,2011Q4
Wardha,12/20/11,1.4,2011Q4
Wardha,12/21/11,0.6,2011Q4
Wardha,12/22/11,2.9,2011Q4
Wardha,12/23/11,2.9,2011Q4
Wardha,12/24/11,1,2011Q4
Wardha,12/25/11,2.3,2011Q4
Wardha,12/26/11,1,2011Q4
Wardha,12/27/11,0.3,2011Q4
Wardha,12/28/11,2.5,2011Q4
Yavatmal,1/1/13,0.2,2013Q1
Yavatmal,1/2/13,1.8,2013Q1
Yavatmal,1/3/13,1.8,2013Q1
Yavatmal,1/4/13,1.9,2013Q1
Yavatmal,1/5/13,1.3,2013Q1
Yavatmal,1/6/13,2.6,2013Q1
Yavatmal,1/7/13,0.1,2013Q1
Yavatmal,1/8/13,3,2013Q1
Yavatmal,1/9/13,2.6,2013Q1
Yavatmal,1/10/13,2.5,2013Q1
Yavatmal,1/11/13,0.5,2013Q1
Yavatmal,1/12/13,1.1,2013Q1
Yavatmal,1/13/13,2.9,2013Q1
Yavatmal,1/14/13,2.2,2013Q1
Yavatmal,1/15/13,2.6,2013Q1
Yavatmal,2/3/13,2.9,2013Q1
Yavatmal,2/5/13,2.3,2013Q1
Yavatmal,2/7/13,2.8,2013Q1
Yavatmal,2/9/13,1,2013Q1
Yavatmal,2/11/13,2.6,2013Q1
Yavatmal,2/13/13,1,2013Q1
Yavatmal,2/15/13,0.6,2013Q1
Yavatmal,2/17/13,2.1,2013Q1
Yavatmal,2/19/13,0.7,2013Q1
Yavatmal,2/21/13,0,2013Q1
Yavatmal,2/23/13,2.4,2013Q1
Yavatmal,2/24/13,2.5,2013Q1
Yavatmal,2/25/13,2.4,2013Q1
Yavatmal,2/26/13,2.1,2013Q1
Yavatmal,2/27/13,2.3,2013Q1
Yavatmal,3/5/13,1.7,2013Q1
Yavatmal,3/6/13,0.3,2013Q1
Yavatmal,3/7/13,2.9,2013Q1
Yavatmal,3/8/13,1.2,2013Q1
Yavatmal,3/9/13,2.8,2013Q1
Yavatmal,3/10/13,2.9,2013Q1
